web-scraper-order,web-scraper-start-url,Name,Duration,Date,Review,Rating,Likes,pages ,pages -href
"I decided after reading all the reviews that I would take a time out on this drug and try Niacin.  I'm a 55 healthy male who walks everywhere and I can't afford to lose my mobility at such an early age.  I really have no trust in the US Medical system and only see it as a money making enterprise with an unsustainable bureaucracy.""""""",10-Jan,194,,,,,,,
1686669267-9,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Patient...,Taken for less than 1 month,1-Feb-20,"Lipitor (atorvastatin) for High Cholesterol 							""Terrible! After a few days on this drug, I started having moments of ""spacing out"" - it was like my brain would go offline for a minute or two and suddenly reboot. Horrible feeling! ",,,,
"Also: it is important to note that this drug is known to worsen symptoms of GERD (which I have). Lipitor made my GERD so bad that I was vomiting for hours after eating or drinking anything. I have tried it twice and had the same reaction both times. No thanks!""""""",10-Jan,175,,,,,,,
1686669267-10,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,98zei...,Taken for 5 to 10 years,14-Aug-16,"Lipitor (atorvastatin) for High Cholesterol 							""Here is the trouble with these sites - the skew towards horror stories.  There is also a handful who claim that statins are ""poison"" and ""should be taken off the market"".  This is, clearly, an overreaction by those who have the adverse reaction, which - despite what you would think from reading these reviews - are very low frequency events.  Statins are probably as close to a wonder drug as modern pharmacology has ever gotten.  Yes, there are those who are intolerant, allergic, or simply confused as to the genesis of their symptoms.  The truth is, statins work for the vast majority of people taking them, and they work well.  Having said this, I am also perplexed as to why some folks in their later 70s or even 80s are taking them?""",10-Oct,284,,
1686669267-11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Smoke,3-May-20,,"For High Cholesterol 							""My cardiologist finally talked me into taking this poison after 5 years of trying. Took it for a month. The first week I had severe cramping of my hamstrings. The second week foot, ankle, and knee pain. Fourth week all the previous symptoms with myopathy, back pain ,and gout flare ups. Stopped taking the poison(feel stupid I waited so long to do it). I had to walk with crutches for a week and after weeks still having trouble. I read an article that said 1 in 4 Americans take statins. However because the “normal” cholesterol numbers are being lowered which means more people will be diagnosed with high cholesterol that statistic is going to change to 1 in 2 Americans. If I would have continued to take the poison it probably would have helped To prevent me from having a heart attack or stroke. What good does that do me if I have a terrible quality of life by being crippled and miserable. """,10-Jan,152,,
1686669267-12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,changed,Taken for 2 to 5 years,27-May-19,"Lipitor (atorvastatin) for High Cholesterol 							""The Lipitor worked for years then suddenly I had upper arm pains and couldn't move my arms without crying. I couldn't get up from the toilet or bathtub etc. I was a cripple. My cardiologist took me off the drug immediately and said not to every go back to it. After months the pain subsided a little but never came back to my original health. Can't walk much and have to stop every minute or so to rest my aching legs etc. Can't take care of my apartment anymore.""",,181,,
1686669267-13,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Kate...,27-Aug-13,,"Lipitor (atorvastatin) for High Cholesterol 							""Took Lipitor for about 5 years.  It kept my lipids under control well, but developed severe leg aching and muscle cramps, especially at night.  Went off it and within a week, all these reactions disappeared.""",10-Jul,348,,
1686669267-14,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,DUKSTER,Taken for 1 to 6 months,1-Jul-18,"Lipitor (atorvastatin) for High Cholesterol 							""Been taking 20mg for 3 months. Zero side effects. Triglycerides were 311. Most recent blood test showed 125, which is in normal range. Good cholesterol was 23. Now is 50. Very effective drug. Sorry to all those people who are having negative side effects. Try something else and good luck. All medications work for some and not others.""",10-Oct,204,,
1686669267-15,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Cityb...,Taken for less than 1 month,9-Nov-19,"Lipitor (atorvastatin) for High Cholesterol 							""Been on this horrible tablet two weeks and never felt as ill in my life.  I am constantly feeling sick and dizzy and can’t lift my arms up.  I stop taking them for one day and the next day I feel on top of the world, then take them again and one the day after back to normal feeling sick, dizzy, sinus problems will never take them again.  I will get my cholesterol down myself""",10-Jan,147,,
1686669267-16,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Dan,Taken for 1 to 6 months,23-May-20,"Lipitor (atorvastatin) for High Cholesterol 							""Horrible drug! Was taking 40mg once a day. Side effects were just terrible. Headaches, nauseous, dizzy,  spacey, and just felt terrible overall. After a few months I decided to cut my dose in half. The next morning still has some side effects but not near as bad as the prescribed dose I was on.""",10-Feb,119,,
1686669267-17,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,metal...,Taken for 2 to 5 years,12-Dec-19,"For High Cholesterol 							""I was put on atorvastatin as a middle age male with a history of moderate hypertension. I had low cholesterol and lower good cholesterol but was put on it. Over a few years my blood sugar climbed to the point of being diagnosed as diabetic. Prior to starting taking atorvastatin I had very low blood sugar.  The company's website tells you it will make your blood sugar rise but not make you a diabetic. I also had leg pain and cramping along with weight gain. I ended up with a rise in weight , cholesterol, blood sugar and then a heart attack. After convincing a new Dr.  I was having issues with it I was taken off of it . My blood sugar has dropped out of the diabetic range, my cholesterol has dropped, my leg issues have subsided.I have lost weight.  Thank you for listening Dr.""",10-Jan,121,,
1686669267-18,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,56...,30-May-17,,"Lipitor (atorvastatin) for High Cholesterol 							""My Dr prescribed Lipitor (40mg) four months ago for high cholesterol of 342. I started feeling like my lower legs weighed a ton. Then it also went into my knees and behind the knees. The pain was unbearable, especially in the muscles circling the knee with more severe pain above and towards the outer side of both knees. My doctor thinks it's from an injury I suffered 11 years ago and sent me for X-rays. I tried telling him it felt more like muscle than joint pain, but at this point, the pain was so bad that I wasn't  even sure anymore. Confusion started a few weeks ago, where I was struggling to think of words. 3 days ago, I quit taking it, and I slowly am feeling better. Thankfully I found these reviews today. Things are making more sense""",,181,,
1686669267-19,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Product...,Taken for 1 to 6 months,16-Jul-19,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""I was put on Lipitor after a mild heart-attack and stent placement. A short time after starting the script, my hands started hurting daily. They woke me up at night. Then the pain spread through out my body . It got so bad I could not push up off a chair or bed. Nothing helped. It was nerve and muscle pain. Took it for a year before the doctor finally heard me and took me off Lipitor to see if that was the cause. Within days the pain started letting up . Now 4 months later I’m back to normal. The pain was so bad I  thought I was terminal and felt that way to the point of writing out a will . Not everyone has this reaction . But pay attention if you start taking it and then have body pain. It can be dangerous.  I don’t know what long term effect may show up later from it. Now my hands still hurt daily from it . But less than when I was on the pill.""",10-Jan,126,,
1686669267-20,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Finos...,Taken for 6 months to 1 year,28-Feb-21,"For High Cholesterol 							""I was prescribed 10 mg. and started having leg, heel, hip and shoulder pain.  My doctor lowered it to 5 mg. but I still have pain.  My legs and hips hurt when I sleep.  I’ve taken 2 other statins before this one and had problems with those also.  While on one statin I couldn’t even climb a chair.  My legs were so weak.",,,,
,,,,,,,,,
"I stopped taking the Atorvastatin but I wonder how long it takes to get out of your system.  I’m looking forward to feeling better again!!""""""",10-Jan,82,,,,,,,
1686669267-21,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,21-Sep-09,,"Lipitor (atorvastatin) for High Cholesterol 							""I was taking the combination drug Caduet, of which Lipitor was one of the two drugs. Steadily over a year my doctor increased the medication from 20mg to 40mg, and then about three months ago he increased it to 80mg. Within a month I was experienceing severe tiredness, and eventually sever muscle weakness, coupled with elevated CK readings. On doing some research on the drug I found that the symptoms I had were indeed a major drug reaction. Although Lipitor helped in the reduction of my cholesterol levels, the side effects were debilitating. Within a week of having the medication changed to a non-statin I was beginning to feel better. A month later I am close to being back to my old self. There are other better alternatives.""",10-Jan,314,,
1686669267-22,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Tal,Taken for less than 1 month,6-Jan-20,"Lipitor (atorvastatin) for High Cholesterol 							""Taken before two other different times for high cholesterol, I quit because of stomach pains and bloating. This time I took 40 mg I took for a week it didn't seem to bother my stomach, I did notice gas,  so I decided to quit again , just not worth the dangerous side effects. I'm not overweight I don't eat greasy foods , I do eat and drink sugar everyday. My cholesterol is very high , I'll ask my Dr. if there is another medicine to try, does anyone have a suggestion?  Thanks""",,110,,
1686669267-23,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,river...,20-Feb-19,,"For High Cholesterol 							""Wish I could rate this a zero. After only 3 days on atorvastatin 20mg I experienced constant headache, muscle pain and weakness, dizziness, couldn't sleep, tingling in the arms and legs and ringing in the ears.",,,,
,,,,,,,,,
Well turns out after doing more research into these toxic drugs I was indeed being slowly poisoned. Stopped after 9 days and things are improving slowly.,,,,,,,,,
,,,,,,,,,
These drugs stop the essential HMG-CoA pathway in the body which produces many molecules that are essential for cellular health. They also build up in muscle tissue in their toxic lactone form. This is especially serious if you have an acidic blood pH. There are genetic variations in the bodies ability to clear these through the liver that can lead to a dangerous build-up of these drugs in your body. This basic biology is all hard science and confirmed by peer-reviewed studies.,,,,,,,,,
,,,,,,,,,
"Educate yourself and make your own decision before letting your doctor scare you into taking these dangerous drugs.""""""",10-Jan,128,,,,,,,
1686669267-24,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,sadie,21-Mar-19,,"For High Cholesterol 							""My Dr prescribed me atorvastatin 10mg, 8 weeks ago.  My numbers are in the 200's.  I was very hesitant because of the bad side effects I have heard other people tell me about but everyone is different, so I decided to give it a try.",,,,
"As of today, I took myself off of it.  I have gained 12 lbs, experienced muscle weakness, muscle aches, back pain, brain fog, memory issues, confusion, headaches, and fatigue.   ",,,,,,,,,
"I explained to my Dr that I was having bad side effects and she told me to stay on it and just """"wait it out"""" and the good will outweigh the bad.",,,,,,,,,
"I have become very inactive and sleep all the time.  I haven't exercised at all and with the weight gain, that has made my health deteriorate....not improve.",,,,,,,,,
"I am going to try Niacin instead.  In the long run, I realize that eating healthy and exercise is the best way to keep my body in the best shape possible.  My health is important to me, but so is my quality of life.",,,,,,,,,
"Try this drug at your own risk.""""""",10-Jan,121,,,,,,,
1686669267-25,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,momlo...,14-Aug-13,,"Lipitor (atorvastatin) for High Cholesterol 							""I have taken this for 8 years but it makes me feel like a zombie. And it affects my memory and motor skills. I recently went back to work and had to quit the lipitor because it affected my ability to work. Don't know what I will try next. Started on Crestor 9 years ago and couldn't stand the pain in my legs.""",10-May,214,,
1686669271-26,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Sendhil,Taken for 1 to 6 months,15-May-16,"For High Cholesterol 							""Very good and effective""",10-Oct,20,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-27,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,20-Aug-08,,"Lipitor (atorvastatin) for High Cholesterol, Familial Homozygous 							""Seems to work well""",10-Aug,29,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-28,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Atorv...,19-Sep-22,,"For High Cholesterol 							""Was prescribed this medication this week have not taken it yet doing research on it reading all  these reviews I'm not so sure I want to take this medication. Guess I'll just keep high cholesterol.""",,3,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-29,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,30-Sep-08,,"Lipitor (atorvastatin) for High Cholesterol 							""Works best for me with zetia.""",10-Aug,28,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-30,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Johnc...,Taken for 1 to 2 years,4-Aug-17,"For High Cholesterol 							""My Tyiglycerids were over 400.  One year later they are down to 112. ",,,,
,,,,,,,,,
"HdL 35 LDL 66""""""",10-Oct,13,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12,,,,,
1686669271-31,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,JM2326,Taken for 1 to 6 months,23-Jun-17,"For High Cholesterol 							""Switched from Lovastatin to Atorvastatin with Gemfibrozil, resulting in much better numbers and no side effects.""",10-Oct,10,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-32,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Charlie,Taken for 1 to 6 months,12-Sep-22,"For High Cholesterol 							""Took atorvastatin for one month.  I experienced nosebleeds, eye and sinus pressure, dry sinus, muscle aches dull headache.",,,,
"Stopped taking this medicine and feeling better and side effects stopped.""""""",10-Jan,2,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12,,,,,
1686669271-33,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,akex,Taken for 10 years or more,3-Aug-21,"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""Have been using it for over 10 years.  No problems at a dose of 10mg.  Works well when combined with Ezetrol""",10-Oct,2,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-34,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Granm...,Taken for less than 1 month,16-May-22,"For High Cholesterol 							""GAS!!  Bloating for several hours and sometimes into next day after taking 20 mg. with water at night.""",,1,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-35,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,BabyK...,Taken for 1 to 2 years,13-Jun-22,"For High Cholesterol 							""Was put on this medicine after having a heart attack.. Have been on it for over a year and have had no problem what so ever..""",10-Oct,1,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-36,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,26-Jul-21,,"For High Cholesterol 							""Weight gain!""",,0,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669271-37,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Michael,Taken for 2 to 5 years,19-Apr-22,"For High Cholesterol 							""Good anti inflammatory effects, some muscle weakness  but as it’s also the likely cause of both of my Cataracts I’m wondering what other damage it might cause""",10-Mar,0,12,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=12
1686669298-38,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Kathy,Taken for less than 1 month,4-Jan-15,"For High Cholesterol 							""Many horrible side effects made taking it impossible.""",10-Jan,63,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-39,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Happy...,30-Dec-14,,"For High Cholesterol 							""I take 10 mg daily. I have muscle, back as well as joint pain. Not sure if it is caused by statin. Will keep monitoring.""",10-Aug,59,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-40,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Da pig,5-Feb-10,,"Lipitor (atorvastatin) for High Cholesterol 							""My number was 240 with a bad ratio. Now its around 140 with a great ratio.""",10-Oct,83,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-41,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,bonobo,13-Sep-09,,"Lipitor (atorvastatin) for High Cholesterol 							""My cholesterol dropped from 302 to 213 in 6 weeks. Seems to be causing constipation. Also, questioning weight gain. Otherwise, effective.""",10-Aug,82,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-42,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Char,Taken for 2 to 5 years,21-Feb-21,"Lipitor (atorvastatin) for High Cholesterol 							""Horrible ,I never experienced such cramping and pain. it was a nightmare.""",10-Jan,20,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-43,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Dbano,Taken for less than 1 month,21-Dec-19,"For High Cholesterol 							""After taking this medication I had a hard time swallowing and breathing. My tongue, lips and eyes were burning.I was not feeling well.  I have not had this experience with other manufacturers.""",10-Jan,27,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-44,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,SRano,11-Jan-18,,"Lipitor (atorvastatin) for High Cholesterol 							""Have been taking low dosage of this drug for 10 years. It's very effective. Has lowered my cholesterol dramatically, combined with exercise and low fat diet.""",10-Oct,35,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-45,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Claudia...,23-Nov-16,,"For High Cholesterol 							""A drug with many side effects. I had migraine, painful headaches. I don't want to see this drug again!! It's really too bad.""",10-Jan,38,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-46,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,jon...,4-Jan-12,,"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""Its good.""",,58,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-47,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,user,4-Aug-09,,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""I have taken Lipitor for over two years. HDL are 76 total cholesterol is 147. Appears to be working properly. Have full blood tests every six months.""",10-Oct,66,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-48,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,old...,Taken for 2 to 5 years,13-Aug-16,"For Prevention of Cardiovascular Disease 							""4 yrs of pure hell, bladder damage, leaky heart valve ,damage to joints,eyes,liver,stopped taking it getting better every day""",10-Jan,38,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-49,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Mike...,8-Apr-17,,"For High Cholesterol 							""Been on liptitor for 2 months. Woke up on Monday with problems with my hands, memory loss, mood swings, and loss of thoughts. Doctor told me to discontinue. Hope everyday I get back to normal.""",10-Jan,35,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-50,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,pepzi...,Taken for less than 1 month,2-Apr-15,"For High Cholesterol 							""I started this last night at bed time. Woke up with cramping and sore muscles In my legs back and sides.""",10-May,42,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-51,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,mtmnjde,28-Jul-08,,"Lipitor (atorvastatin) for High Cholesterol 							""This medicine is wonderful. My cholesterol was around 225. After taking Lipitor is around 130. Amazing stuff.""",10-Sep,64,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-52,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Sabrina,Taken for 5 to 10 years,6-Mar-17,"For High Cholesterol 							""Been taking 20mg atovastatin for 7.5 years with no ill effects but I also take coq10 daily . Total cholesterol 213 to 112 , LDL 119 to 42""",10-Oct,32,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-53,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,guiso,Taken for 2 to 5 years,12-Apr-15,"For High Cholesterol 							""Excellent drug",,,,
,,,,,,,,,
Also increases HDL,,,,,,,,,
decrease triglycerides,,,,,,,,,
"few or none side effects""""""",10-Oct,37,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11,,,,,
1686669298-54,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Dhjyy...,28-Oct-15,,"For Prevention of Cardiovascular Disease 							""20mg a day gave me stomach pains. Went to 10mg. Works good, no side effects.""",10-Oct,34,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-55,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Andrew,Taken for 2 to 5 years,7-Apr-23,"For High Cholesterol 							""Thankful that this med works for me. 10mg tablet daily; no side effects other than a little stomach uneasiness in first few weeks only. Bad cholesterol was normalized in 3-4 weeks of usage.""",10-Oct,2,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-56,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,10-Jun-08,,"Lipitor (atorvastatin) for High Cholesterol 							""Works very well.""",10-Oct,54,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-57,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Slilly,Taken for 1 to 6 months,25-Feb-21,"For High Cholesterol 							""I had a TIA  and the ER Doctor prescribed me this med plus one baby aspirin per day. The atorvastatin to be taken at night. No side effect so far.""",10-Aug,11,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-58,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Mitrap,2-Jul-17,,"For High Cholesterol 							""My cholesterol has been lowered 50% by this medication. Very happy,no side effects.""",10-Oct,21,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-59,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,Taken for 2 to 5 years,7-Aug-16,"For High Cholesterol 							""I have experienced severe heartburn since increased dosage from 40to 80 mg.""",10-Mar,23,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-60,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Shelby,29-Jan-21,,"For High Cholesterol 							""Major muscle spasms on this medication""",10-Mar,10,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669298-61,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Meanm...,Taken for 1 to 2 years,10-May-18,"Lipitor (atorvastatin) for High Cholesterol 							""I too am taking lipitor. But my problem is how they change the shape and color.  Now they are giving me peach and oval shape ones. I would like to know if anybody has these kind before.""",10-Mar,17,11,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=11
1686669327-62,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,anon...,26-Mar-09,,"Lipitor (atorvastatin) for High Cholesterol 							""Reduced my overall cholesterol from 288 to 126 in one month.",,,,
,,,,,,,,,
"However, I now seem to have a lot of various pains throughout my body.   Feet, back, etc.""""""",10-Feb,151,10,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top&page=10,,,,,
